Time,Focus Score,Reason,Distracted Time
03:38:51,100,Focused,0
03:38:52,100,Focused,0
03:38:53,100,Focused,0
03:38:54,100,Focused,0
03:38:55,100,Focused,0
03:38:56,100,Focused,0
03:38:57,100,Focused,0
03:38:58,100,Focused,0
03:38:59,100,Focused,0
03:39:00,100,Focused,0
03:39:01,50,Looking left,0
03:39:02,100,Focused,0
03:39:03,100,Focused,0
03:39:04,50,Looking left,0
03:39:05,50,Looking left,0
03:39:06,100,Focused,0
03:39:07,100,Focused,0
03:39:08,50,Looking left,0
03:39:09,50,Looking left,0
03:39:10,50,Looking left,0
03:39:11,50,Looking left,0
03:39:12,50,Looking left,0
03:39:13,100,Focused,0
03:39:14,100,Focused,0
03:39:15,100,Focused,0
03:39:16,100,Focused,0
03:39:17,100,Focused,0
03:39:18,100,Focused,0
03:39:19,100,Focused,0
03:39:20,100,Focused,0
03:39:21,100,Focused,0
03:39:22,100,Focused,0
03:39:23,100,Focused,0
03:39:24,100,Focused,0
03:39:25,100,Focused,0
03:39:26,50,Looking left,0
03:39:27,50,Looking left,0
03:39:29,100,Focused,0
03:39:30,100,Focused,0
03:39:31,100,Focused,0
03:39:32,100,Focused,0
03:39:33,100,Focused,0
03:39:34,0,No face detected,0
03:39:35,50,Looking right,0
03:39:36,100,Focused,0
03:39:37,100,Focused,0
03:39:38,100,Focused,0
03:39:39,100,Focused,0
03:39:40,100,Focused,0
03:39:41,100,Focused,0
03:39:42,50,Looking left,0
03:39:43,0,Looking left,0
03:39:44,100,Focused,0
03:39:45,100,Focused,0
03:39:46,100,Focused,0
03:39:47,100,Focused,0
03:39:48,100,Focused,0
03:39:49,100,Focused,0
03:39:50,100,Focused,0
03:39:51,100,Focused,0
03:39:52,50,Looking left,0
03:39:53,100,Focused,0
03:39:54,100,Focused,0
03:39:55,100,Focused,0
03:39:56,100,Focused,0
03:39:57,100,Focused,0
03:39:58,100,Focused,0
03:39:59,100,Focused,0
03:40:00,100,Focused,0
03:40:01,100,Focused,0
03:40:02,100,Focused,0
03:40:03,50,Eyes closed,0
03:40:04,100,Focused,0
03:40:05,100,Focused,0
03:40:06,100,Focused,0
03:40:07,100,Focused,0
03:40:08,100,Focused,0
03:40:09,100,Focused,0
03:40:10,100,Focused,0
03:40:11,100,Focused,0
03:40:12,100,Focused,0
03:40:14,100,Focused,0
03:40:15,100,Focused,0
03:40:16,100,Focused,0
03:40:17,100,Focused,0
03:40:18,100,Focused,0
03:40:19,100,Focused,0
03:40:20,100,Focused,0
03:40:21,100,Focused,0
03:40:22,100,Focused,0
03:40:23,100,Focused,0
03:40:24,100,Focused,0
03:40:25,100,Focused,0
03:40:26,50,Eyes closed,0
03:40:27,100,Focused,0
03:40:28,50,Eyes closed,0
03:40:29,100,Focused,0
03:40:30,100,Focused,0
03:40:31,100,Focused,0
03:40:32,100,Focused,0
03:40:33,100,Focused,0
03:40:34,100,Focused,0
03:40:35,100,Focused,0
03:40:36,100,Focused,0
03:40:37,100,Focused,0
03:40:38,100,Focused,0
03:40:39,100,Focused,0
03:40:40,50,Eyes closed,0
03:40:41,100,Focused,0
03:40:42,0,No face detected,0
03:40:43,100,Focused,0
03:40:44,100,Focused,0
03:40:45,0,No face detected,0
03:40:46,0,No face detected,1
03:40:47,100,Focused,0
03:40:48,100,Focused,0
03:40:49,100,Focused,0
03:40:50,100,Focused,0
03:40:51,100,Focused,0
03:40:52,100,Focused,0
03:40:53,100,Focused,0
03:40:54,100,Focused,0
03:40:55,100,Focused,0
03:40:56,100,Focused,0
03:40:57,100,Focused,0
03:40:59,100,Focused,0
03:41:00,100,Focused,0
03:41:01,100,Focused,0
03:41:02,100,Focused,0
03:41:03,100,Focused,0
03:41:04,100,Focused,0
03:41:05,100,Focused,0
03:41:06,100,Focused,0
03:41:07,100,Focused,0
03:41:08,100,Focused,0
03:41:09,100,Focused,0
03:41:10,100,Focused,0
03:41:11,100,Focused,0
03:41:12,100,Focused,0
03:41:13,100,Focused,0
03:41:14,100,Focused,0
03:41:15,100,Focused,0
03:41:16,100,Focused,0
03:41:17,100,Focused,0
03:41:18,100,Focused,0
03:41:19,100,Focused,0
03:41:20,100,Focused,0
03:41:21,100,Focused,0
03:41:22,100,Focused,0
03:41:23,100,Focused,0
03:41:24,100,Focused,0
03:41:25,100,Focused,0
